profileId,assetId,gender,shotType,legacyStoragePath,storagePath,prompt
female_001,female_001__face_card__v001,female,face_card,ai_profiles/female/001.png,ai_profiles/female/001/face_card.png,"A realistic adult Korean university student, approximately 21 years old, an adult woman, natural everyday profile photo, not a celebrity, not an influencer, authentic campus-based relationship profile style, calm and trustworthy impression.

Face details:
a soft oval face, medium-large calm eyes, a delicate jawline, a gentle quiet expression, soft oval face shape, medium-sized eyes, neutral eye tilt, soft but defined jawline, subtle cheek fullness, medium-high nose bridge, soft fuller lips, light natural brows, real skin texture with very mild imperfections, realistic attractive appearance, balanced facial symmetry, clear natural skin, well-kept but not influencer-like, quiet romantic but mature mood.

Hair and styling:
long, natural black, soft straight hair, no bangs, light natural makeup, neat campus everyday fashion, neat regular fit, campus-appropriate and modest. Outfit: muted rose blouse with a light cardigan.

Composition:
head-and-shoulders portrait, face clearly visible, looking near the camera with a natural relaxed expression, simple warm off-white or campus-neutral background, not a studio portrait.

Lighting and camera:
soft natural daylight, realistic smartphone camera photo, 35mm equivalent lens, slight depth of field, natural skin texture, highly realistic but casual.

Avoid: childlike appearance, teenager, school uniform, idol trainee look, celebrity lookalike, influencer photoshoot, glamour studio lighting, heavy retouching, plastic skin, exaggerated beauty filter, revealing outfit, swimsuit, lingerie, nightclub, party scene, neon lighting, sexualized pose, luxury hotel background, identifiable school logo, visible real university name, text, watermark, distorted face, distorted hands, extra fingers, unrealistic body proportions."
female_001,female_001__silhouette_card__v001,female,silhouette_card,ai_profiles/female/001.png,ai_profiles/female/001/silhouette_card.png,"A realistic adult Korean university student, approximately 21 years old, an adult woman, natural everyday profile photo, not a celebrity, not an influencer, authentic campus-based relationship profile style, calm and trustworthy impression.

Body and silhouette:
height impression around 165cm, small frame, slim build, moderate natural muscularity, narrow shoulders, naturally defined waist, soft medium hip line, long leg proportion while still realistic, slightly short but balanced torso length, realistic adult head-to-body ratio, realistic adult body proportions, natural posture. Outfit shows the overall silhouette without being tight or revealing.

Styling:
soft cardigan, relaxed wide-leg pants, minimal sneakers. neat campus everyday fashion, clean and modest.

Composition:
three-quarter body or full-body photo, standing or walking naturally, body proportions readable, no oversized padding, no extreme wide-angle distortion, camera at chest height, enough space around the body.

Location:
quiet university walkway with trees and neutral campus buildings in the background, no visible school logo, no readable text.

Lighting and camera:
soft daylight, realistic smartphone profile photo, natural colors, casual but carefully composed.

Avoid: childlike appearance, teenager, school uniform, idol trainee look, celebrity lookalike, influencer photoshoot, glamour studio lighting, heavy retouching, plastic skin, exaggerated beauty filter, revealing outfit, swimsuit, lingerie, nightclub, party scene, neon lighting, sexualized pose, luxury hotel background, identifiable school logo, visible real university name, text, watermark, distorted face, distorted hands, extra fingers, unrealistic body proportions."
female_001,female_001__vibe_card__v001,female,vibe_card,ai_profiles/female/001.png,ai_profiles/female/001/vibe_card.png,"A realistic adult Korean university student, approximately 21 years old, an adult woman, natural everyday profile photo, not a celebrity, not an influencer, authentic campus-based relationship profile style, calm and trustworthy impression.

Identity consistency:
same person as the canonical portrait, same general facial structure, a soft oval face, medium-large calm eyes, a delicate jawline, a gentle quiet expression, same long, natural black, soft straight hair, no bangs, same natural grooming.

Mood and lifestyle:
walking slowly on a tree-lined campus path while holding a few books, neat campus everyday fashion, calm, sincere, campus-based relationship platform mood, not flashy, not nightlife-oriented.

Composition:
half-body or environmental portrait, the person is naturally engaged in a quiet everyday activity, face still recognizable but not overly posed, relaxed shoulders, gentle expression.

Location:
quiet university walkway with trees and neutral campus buildings, no visible school logo, no readable text.

Lighting and camera:
soft ambient daylight, realistic smartphone photo, warm but clean color tone, authentic profile image.

Avoid: childlike appearance, teenager, school uniform, idol trainee look, celebrity lookalike, influencer photoshoot, glamour studio lighting, heavy retouching, plastic skin, exaggerated beauty filter, revealing outfit, swimsuit, lingerie, nightclub, party scene, neon lighting, sexualized pose, luxury hotel background, identifiable school logo, visible real university name, text, watermark, distorted face, distorted hands, extra fingers, unrealistic body proportions."
female_002,female_002__face_card__v001,female,face_card,ai_profiles/female/002.png,ai_profiles/female/002/face_card.png,"A realistic adult Korean university student, approximately 21 years old, an adult woman, natural everyday profile photo, not a celebrity, not an influencer, authentic campus-based relationship profile style, calm and trustworthy impression.

Face details:
slightly narrow eyes, a refined face line, a subtle chic expression, a clean medium nose bridge, soft oval face shape, medium-sized eyes, slightly lifted outer eye corners, soft jawline, moderate cheek fullness, medium-high nose bridge, natural medium lips, natural brows, natural skin texture, noticeably attractive but still realistic, refined natural grooming, not celebrity-like, not a photoshoot model, quiet romantic but mature mood.

Hair and styling:
medium-length, natural dark brown, slightly wavy hair with light natural bangs, light natural makeup, intellectual neat campus fashion, neat regular fit, campus-appropriate and modest. Outfit: minimal navy knit top with a calm campus mood.

Composition:
head-and-shoulders portrait, face clearly visible, looking near the camera with a natural relaxed expression, simple warm off-white or campus-neutral background, not a studio portrait.

Lighting and camera:
soft natural daylight, realistic smartphone camera photo, 35mm equivalent lens, slight depth of field, natural skin texture, highly realistic but casual.

Avoid: childlike appearance, teenager, school uniform, idol trainee look, celebrity lookalike, influencer photoshoot, glamour studio lighting, heavy retouching, plastic skin, exaggerated beauty filter, revealing outfit, swimsuit, lingerie, nightclub, party scene, neon lighting, sexualized pose, luxury hotel background, identifiable school logo, visible real university name, text, watermark, distorted face, distorted hands, extra fingers, unrealistic body proportions."
female_002,female_002__silhouette_card__v001,female,silhouette_card,ai_profiles/female/002.png,ai_profiles/female/002/silhouette_card.png,"A realistic adult Korean university student, approximately 21 years old, an adult woman, natural everyday profile photo, not a celebrity, not an influencer, authentic campus-based relationship profile style, calm and trustworthy impression.

Body and silhouette:
height impression around 169cm, medium frame, slim build, moderate natural muscularity, medium shoulder width, naturally defined waist, narrow hip line, long leg proportion while still realistic, balanced torso length, slightly small head-to-body impression but still realistic, realistic adult body proportions, natural posture. Outfit shows the overall silhouette without being tight or revealing.

Styling:
minimal sweatshirt, straight denim pants, canvas tote bag, clean sneakers. intellectual neat campus fashion, clean and modest.

Composition:
three-quarter body or full-body photo, standing or walking naturally, body proportions readable, no oversized padding, no extreme wide-angle distortion, camera at chest height, enough space around the body.

Location:
quiet university walkway with trees and neutral campus buildings in the background, no visible school logo, no readable text.

Lighting and camera:
soft daylight, realistic smartphone profile photo, natural colors, casual but carefully composed.

Avoid: childlike appearance, teenager, school uniform, idol trainee look, celebrity lookalike, influencer photoshoot, glamour studio lighting, heavy retouching, plastic skin, exaggerated beauty filter, revealing outfit, swimsuit, lingerie, nightclub, party scene, neon lighting, sexualized pose, luxury hotel background, identifiable school logo, visible real university name, text, watermark, distorted face, distorted hands, extra fingers, unrealistic body proportions."
female_002,female_002__vibe_card__v001,female,vibe_card,ai_profiles/female/002.png,ai_profiles/female/002/vibe_card.png,"A realistic adult Korean university student, approximately 21 years old, an adult woman, natural everyday profile photo, not a celebrity, not an influencer, authentic campus-based relationship profile style, calm and trustworthy impression.

Identity consistency:
same person as the canonical portrait, same general facial structure, slightly narrow eyes, a refined face line, a subtle chic expression, a clean medium nose bridge, same medium-length, natural dark brown, slightly wavy hair with light natural bangs, same natural grooming.

Mood and lifestyle:
standing in a small exhibition space and looking at a framed artwork, intellectual neat campus fashion, calm, sincere, campus-based relationship platform mood, not flashy, not nightlife-oriented.

Composition:
half-body or environmental portrait, the person is naturally engaged in a quiet everyday activity, face still recognizable but not overly posed, relaxed shoulders, gentle expression.

Location:
calm library lounge or study area, no visible school name, no readable text.

Lighting and camera:
soft ambient daylight, realistic smartphone photo, warm but clean color tone, authentic profile image.

Avoid: childlike appearance, teenager, school uniform, idol trainee look, celebrity lookalike, influencer photoshoot, glamour studio lighting, heavy retouching, plastic skin, exaggerated beauty filter, revealing outfit, swimsuit, lingerie, nightclub, party scene, neon lighting, sexualized pose, luxury hotel background, identifiable school logo, visible real university name, text, watermark, distorted face, distorted hands, extra fingers, unrealistic body proportions."
female_003,female_003__face_card__v001,female,face_card,ai_profiles/female/003.png,ai_profiles/female/003/face_card.png,"A realistic adult Korean university student, approximately 20 years old, an adult woman, natural everyday profile photo, not a celebrity, not an influencer, authentic campus-based relationship profile style, calm and trustworthy impression.

Face details:
slightly narrow eyes, a refined face line, a subtle chic expression, a clean medium nose bridge, slightly longer face shape, slightly narrow medium eyes, neutral eye tilt, soft but defined jawline, moderate cheek fullness, soft low-to-medium nose bridge, natural medium lips, natural brows, healthy natural skin texture, realistic attractive appearance, balanced facial symmetry, clear natural skin, well-kept but not influencer-like, quiet romantic but mature mood.

Hair and styling:
bob-length, dark brown, soft straight hair, no bangs, natural makeup, casual campus everyday fashion, neat regular fit, campus-appropriate and modest. Outfit: muted rose blouse with a light cardigan.

Composition:
head-and-shoulders portrait, face clearly visible, looking near the camera with a natural relaxed expression, simple warm off-white or campus-neutral background, not a studio portrait.

Lighting and camera:
soft natural daylight, realistic smartphone camera photo, 35mm equivalent lens, slight depth of field, natural skin texture, highly realistic but casual.

Avoid: childlike appearance, teenager, school uniform, idol trainee look, celebrity lookalike, influencer photoshoot, glamour studio lighting, heavy retouching, plastic skin, exaggerated beauty filter, revealing outfit, swimsuit, lingerie, nightclub, party scene, neon lighting, sexualized pose, luxury hotel background, identifiable school logo, visible real university name, text, watermark, distorted face, distorted hands, extra fingers, unrealistic body proportions."
female_003,female_003__silhouette_card__v001,female,silhouette_card,ai_profiles/female/003.png,ai_profiles/female/003/silhouette_card.png,"A realistic adult Korean university student, approximately 20 years old, an adult woman, natural everyday profile photo, not a celebrity, not an influencer, authentic campus-based relationship profile style, calm and trustworthy impression.

Body and silhouette:
height impression around 162cm, small-to-medium frame, naturally fit build, low natural muscularity, narrow-to-medium shoulders, waist not strongly emphasized, medium hip line, balanced leg proportion, slightly short but balanced torso length, balanced adult head-to-body ratio, realistic adult body proportions, natural posture. Outfit shows the overall silhouette without being tight or revealing.

Styling:
regular-fit light cardigan, relaxed straight pants, simple campus tote bag, clean sneakers. casual campus everyday fashion, clean and modest.

Composition:
three-quarter body or full-body photo, standing or walking naturally, body proportions readable, no oversized padding, no extreme wide-angle distortion, camera at chest height, enough space around the body.

Location:
quiet university walkway with trees and neutral campus buildings in the background, no visible school logo, no readable text.

Lighting and camera:
soft daylight, realistic smartphone profile photo, natural colors, casual but carefully composed.

Avoid: childlike appearance, teenager, school uniform, idol trainee look, celebrity lookalike, influencer photoshoot, glamour studio lighting, heavy retouching, plastic skin, exaggerated beauty filter, revealing outfit, swimsuit, lingerie, nightclub, party scene, neon lighting, sexualized pose, luxury hotel background, identifiable school logo, visible real university name, text, watermark, distorted face, distorted hands, extra fingers, unrealistic body proportions."
female_003,female_003__vibe_card__v001,female,vibe_card,ai_profiles/female/003.png,ai_profiles/female/003/vibe_card.png,"A realistic adult Korean university student, approximately 20 years old, an adult woman, natural everyday profile photo, not a celebrity, not an influencer, authentic campus-based relationship profile style, calm and trustworthy impression.

Identity consistency:
same person as the canonical portrait, same general facial structure, slightly narrow eyes, a refined face line, a subtle chic expression, a clean medium nose bridge, same bob-length, dark brown, soft straight hair, no bangs, same natural grooming.

Mood and lifestyle:
standing near a campus garden with a relaxed sincere expression, casual campus everyday fashion, calm, sincere, campus-based relationship platform mood, not flashy, not nightlife-oriented.

Composition:
half-body or environmental portrait, the person is naturally engaged in a quiet everyday activity, face still recognizable but not overly posed, relaxed shoulders, gentle expression.

Location:
quiet university walkway with trees and neutral campus buildings, no visible school logo, no readable text.

Lighting and camera:
soft ambient daylight, realistic smartphone photo, warm but clean color tone, authentic profile image.

Avoid: childlike appearance, teenager, school uniform, idol trainee look, celebrity lookalike, influencer photoshoot, glamour studio lighting, heavy retouching, plastic skin, exaggerated beauty filter, revealing outfit, swimsuit, lingerie, nightclub, party scene, neon lighting, sexualized pose, luxury hotel background, identifiable school logo, visible real university name, text, watermark, distorted face, distorted hands, extra fingers, unrealistic body proportions."
female_004,female_004__face_card__v001,female,face_card,ai_profiles/female/004.png,ai_profiles/female/004/face_card.png,"A realistic adult Korean university student, approximately 20 years old, an adult woman, natural everyday profile photo, not a celebrity, not an influencer, authentic campus-based relationship profile style, calm and trustworthy impression.

Face details:
almond-shaped eyes, slightly lifted outer eye corners, a composed expression, a defined but not sharp jawline, soft oval face shape, medium-sized eyes, neutral eye tilt, slightly angular but realistic jawline, moderate cheek fullness, medium-high nose bridge, natural medium lips, light natural brows, real skin texture with very mild imperfections, realistic attractive appearance, balanced facial symmetry, clear natural skin, well-kept but not influencer-like, calm intellectual mood.

Hair and styling:
medium-length, natural black, soft straight hair with light natural bangs, natural makeup, intellectual neat campus fashion, slim-regular fit without being tight, campus-appropriate and modest. Outfit: ivory knit cardigan over a simple inner top.

Composition:
head-and-shoulders portrait, face clearly visible, looking near the camera with a natural relaxed expression, simple warm off-white or campus-neutral background, not a studio portrait.

Lighting and camera:
soft natural daylight, realistic smartphone camera photo, 35mm equivalent lens, slight depth of field, natural skin texture, highly realistic but casual.

Avoid: childlike appearance, teenager, school uniform, idol trainee look, celebrity lookalike, influencer photoshoot, glamour studio lighting, heavy retouching, plastic skin, exaggerated beauty filter, revealing outfit, swimsuit, lingerie, nightclub, party scene, neon lighting, sexualized pose, luxury hotel background, identifiable school logo, visible real university name, text, watermark, distorted face, distorted hands, extra fingers, unrealistic body proportions."
